qid,question,answer,confidence,correct,gold_aliases
tc_866,Who was the first person after Scott to reach the South Pole overland?,Roald Amundsen,95,0,"[""Sir Edmund Hillary"", ""Edmund Hilary"", ""Sir Ed"", ""Sir Edmund Hilary"", ""Sir Edmund Percival Hillary"", ""Edmond Hillary"", ""Ed Hillary"", ""Edmond hillary"", ""Sir Edmund"", ""Edmund Percival Hillary"", ""Edmund Hillary"", ""Edmond Hillary""]"
tc_875,Which journalist first told the world about the My Lai massacre?,Seymour Hersh,60,1,"[""Seymour Hersch"", ""The Dark Side of Camelot"", ""Seymour M. Hersh"", ""Chain of Command: The Road from 9/11 to Abu Ghraib"", ""Hersh, Seymour M."", ""Seymour Hersh"", ""Sy Hersh"", ""Chain of Command (book)"", ""Seymour (Sy) Myron Hersh"", ""Seymour Hirsch"", ""Seymour Hersh""]"
tc_881,What is the name of Terence and Shirley Conran's dress designer son?,Jasper Conran,60,1,"[""Jaspis"", ""Bruneau jasper"", ""Egyptian jasper"", ""Black Jasper"", ""Lydian stone"", ""Jasper (mineral)"", ""Jasper"", ""Youngite"", ""Bruneau Jasper"", ""Jasper""]"
tc_886,Which drink did The Spice Girls promote?,Pepsi,90,1,"[""Pep.si"", ""Pepsey"", ""Pepsi Convoy"", ""Pepsi Lime"", ""Pepsi: summer Mix"", ""Pepsi Si"", ""Brad's drink"", ""Cherry Pepsi"", ""Pepsi S\u00ed"", ""Pepsi edge"", ""Joy of Cola"", ""Pepsi Summer mix"", ""Pepsi tarik"", ""Pepsi cino"", ""Pepsi Holiday Spice"", ""Pepsi Perfect"", ""PepsiCola"", ""Pepsi: Summer mix"", ""Pepsi: summer mix"", ""Pepsi Gold"", ""Pepsi Samba"", ""Pepsi Vanilla"", ""Pepsi Avantage"", ""Vanilla Pepsi"", ""Pepsi cola"", ""Pepsi Tarik"", ""Pepsi (Summer Mix)"", ""Pepsi"", ""Mandarin Orange Slice"", ""Pepsi advantage"", ""Pepsi (summer mix)"", ""Wildcherrypepsi"", ""Cokesi"", ""Pepsi-Cola"", ""Pepsi Fire"", ""Pepsi EDGE"", ""Pepsi Cola"", ""Pepsiman"", ""Pepsi avantage"", ""Pepsi AM"", ""Pepsi: Summer Mix"", ""Diet Wild Cherry Pepsi"", ""Pepsi Man"", ""Pepsi-cola"", ""Pepsi Cappuccino"", ""Pepsi summer Mix"", ""Pepsi Ice"", ""Pepsi lime"", ""Peppsey"", ""Diet Cherry Pepsi"", ""Pepsi Edge"", ""Pepsi summer mix"", ""Brad's Drink"", ""Pepsi B"", ""Pepsi Summer Mix"", ""Pepsi Limited Edition Summer Mix"", ""Pepsi X"", ""PEPSI"", ""Brads drink"", ""Homemade Pepsi"", ""Diet Pepsi Vanilla"", ""Pepsi (Summer mix)"", ""Pepsi""]"
tc_888,Who was the youngest brother in the Beach Boys?,Carl Wilson,60,1,"[""Carl Wilson"", ""Carl Wilson discography"", ""Wilson, Carl Dean"", ""Carl Dean Wilson"", ""Wilson, Carl"", ""Carl Wilson""]"
tc_905,Who first hosted Family Feud?,Richard Dawson,90,1,"[""Dick Dawson"", ""Richard Dawson"", ""Dickie Dawson"", ""Colin Lionel Emm"", ""Colin Emm"", ""Richard Dawson""]"
tc_935,What did the Lone Ranger's title Kemo Sabe mean in Apache?,I don't know,10,0,"[""L\u00e8ine bh\u00e0n"", ""White shirt"", ""White Shirt"", ""Leine bhan"", ""White Shirt""]"
tc_938,Who or what was Gentle Ben in the 60s TV series?,A bear,90,1,"[""Ursine"", ""Ursoidea"", ""Honey pig"", ""Bears"", ""Arctos"", ""Ursidae"", ""BEAR"", ""Mating bears"", ""Bear cub"", ""Reproductive behavior of bears"", ""Ursoid"", ""Cub (bear)"", ""Bear"", ""\ud83d\udc3b"", ""Bear (zoology)"", ""Sexual behavior of bears"", ""Bear hibernation"", ""Bear cub""]"
tc_945,Which 70s show was based on the British show Till Death Us Do Part?,All in the Family,90,1,"[""All In The Family"", ""All in the family"", ""Justice For All (TV pilot)"", ""Stretch Cunningham"", ""All in the Family (US series)"", ""Those Were the Days (TV pilot)"", ""All In the Family"", ""Millard Fillmore High School"", ""All in the Family"", ""Justice for All (TV pilot)"", ""Those Were The Days (TV pilot)"", ""All In The Family""]"
tc_954,On what date in 1969 did Neil Armstrong first set foot on the Moon?,"July 20, 1969",95,1,"[""July 20"", ""20 July"", ""July 20th"", ""Jul 20"", ""20th July"", ""Historical anniversaries/July 20"", ""July 20th""]"
tc_955,Bandar Seri Begawan International airport is in which country?,Brunei,60,1,"[""Abode of Peace"", ""BRUNEI"", ""Health in Brunei"", ""Burnei"", ""State of Brunei Darussalam"", ""Nation of Brunei, the Abode of Peace"", ""\u0628\u0631\u0646\u064a \u062f\u0627\u0631\u0627\u0644\u0633\u0644\u0627"", ""Brunei"", ""Bruneian Sultanate"", ""Brunei Darrussalam"", ""State of Brunei"", ""Brunai"", ""Nation of Brunei"", ""ISO 3166-1:BN"", ""Asia/Brunei"", ""Human rights in Brunei"", ""Brunei Darsussalam"", ""Nation of Brunei, Abode of Peace"", ""Negara Brunei Darussalam"", ""Subdivisions of Brunei"", ""Brunei Darussalam"", ""Administrative divisions of Brunei"", ""Brunei Sultanate"", ""\u0628\u0631\u0648\u0646\u064a"", ""Legal system of Brunei"", ""State of Brunei, Abode of Peace"", ""Etymology of Brunei"", ""Brunei""]"
tc_962,What was the profession of Paul Strand (1890 - 1976)?,Photographer,90,1,"[""Photographist"", ""Photographer"", ""Freelance photographer"", ""Freelance Photography"", ""Photographr"", ""Photographer""]"
tc_1004,Who had a 60s No 1 with Downtown?,Petula Clark,90,1,"[""Petula Clark"", ""Petula Clarke"", ""Pet clark"", ""Petula Sally Olwen Clark"", ""Petula Clark""]"
tc_1007,"Who was born first, Kiefer Sutherland or Christian Slater?",Kiefer Sutherland,90,1,"[""Kiefer sutherlund"", ""Keefer Sutherland"", ""Promised Land (1987)"", ""Keifer Sutherland"", ""Kiefer William Frederick Dempsey George Rufus Sutherland"", ""Kiefer Sutherland"", ""Keifer Southerland"", ""Kiefer William Fredrick Dempsey George Rufus Sutherland"", ""Kiefer Sutherland characters"", ""Kiefer Sutherland""]"
tc_1008,"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",8,60,0,"[""10"", ""ten"", ""10""]"
tc_1009,Who was the Georgia Peach?,Ty Cobb,95,1,"[""Cobb, Ty"", ""Ty Cobb"", ""The Georgia Peach"", ""Tyrus Raymond Cobb"", ""Tyrus Cobb"", ""Ty Cobb""]"
tc_1020,Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix,95,1,"[""Hendrix"", ""Lithofayne Pridgeon"", ""Jimi hendrix"", ""Early life of jimi hendrix"", ""Villanova Junction"", ""James Marshall Hendrix"", ""Jimmi Hendrix"", ""Jimy Hendrix"", ""Johnny Allen Hendrix"", ""Jimmy hendrix"", ""Jimmy Hendricks"", ""Gypsy Sun and Rainbows"", ""Jimmy Hendrix"", ""Electric Church"", ""Janie Hendrix"", ""Early life of Jimi Hendrix"", ""Heaven Research"", ""Jim Hendrix"", ""Al Hendrix"", ""Gypsy Suns and Rainbows"", ""James Hendrix"", ""Jimi Hendrix"", ""Jimi Hendrix""]"
tc_1023,Della Street was whose secretary?,Perry Mason,95,1,"[""Perry Mason (film)"", ""Perry mason"", ""Perry Mason: The Case of the Defiant Daughter"", ""Perry Mason"", ""Perry Mason""]"
tc_1028,"In music, who was Sweet and Innocent and Too Young?",I don't know,10,0,"[""Donny Osmond"", ""Donny & Marie in Las Vegas"", ""Donald Clark Osmond"", ""Donald Osmond"", ""Donnie Osmond"", ""Donny Osmond""]"
tc_1029,Who is featured on Puff Daddy's Can't Hold Me Down?,Mase,90,1,"[""Mase"", ""MA$E"", ""Ma$e"", ""Karma (Mase album)"", ""Now We Even"", ""Officially Back"", ""Mason Durell Betha"", ""Ma$E"", ""Murda Ma$e"", ""Mason Betha"", ""Murda Mase"", ""Murder Mase"", ""Mase""]"
tc_1068,What had Edmond Hillary worked at before taking up mountain climbing?,Beekeeper,60,0,"[""Bee keeper"", ""Bee culture"", ""Beekeeping suit"", ""Beekiping"", ""Bee keepers"", ""Bee-keeping"", ""Bee keeping"", ""Apairist"", ""Apiculture"", ""Beekeeping helmet"", ""Bee Keeping"", ""Beekeeping"", ""Bee farming"", ""Beekeeping leading practices"", ""Apiarian"", ""History of beekeeping"", ""Bee Keeping""]"
tc_1069,In which American state is the Isabella Stewart Gardner Museum?,Massachusetts,90,1,"[""Masachusetts"", ""Masshole Commonwealth"", ""Massachusetts (state)"", ""Massachusetts culture"", ""Massachusetts, United States"", ""Masachussetts"", ""Commonwealth of Masachusetts"", ""The Bay State"", ""Commonwealth of Masachussets"", ""Culture of Massachusetts"", ""Commonwealth of Massachusetts"", ""MA (state)"", ""Massechusetts"", ""Commonwealth of Masachusets"", ""Commonwealth of Massachussets"", ""Religion in Massachusetts"", ""Masschusetts"", ""Masachussets"", ""Commonwealth of Massachussetts"", ""Massachusetts"", ""Transport in Massachusetts"", ""Massachusite"", ""Economy of Massachusetts"", ""6th State"", ""Massitchusits"", ""Massachsuetts"", ""Commonwealth of Masachussetts"", ""The Commonwealth of Massachusetts"", ""Massachussets"", ""Massachus"", ""Massechussets"", ""Transportation in Massachusetts"", ""Massachusets"", ""Masachusets"", ""Mass."", ""Massachusetts state"", ""Sixth State"", ""Massachusites"", ""Massacheusetts"", ""Most Serene Commonwealth of Massachusetts"", ""US-MA"", ""Commonwealth of Massachusets"", ""Massachussetts"", ""Massachusetts (U.S. state)"", ""Taxachusetts"", ""State of Massachusetts"", ""Massachusettes"", ""Massachusettsan"", ""Education in Massachusetts"", ""Massachusetts""]"
tc_1070,Benina international airport is in which country?,Libya,60,1,"[""Free Democratic Libya"", ""LIBYA"", ""Islamic Republic of Libya"", ""Libya (National Transitional Council)"", ""Republic of Libya"", ""Libya"", ""State of Libya"", ""Libyan Republic (2011)"", ""Libyan Republic"", ""\u2d4d\u2d49\u2d31\u2d62\u2d30"", ""\u0644\u064a\u0628\u064a\u0627"", ""Libiyah"", ""LBY"", ""Etymology of Libya"", ""Al-Jamahiriya al-%60Arabiyah al-Libiyah ash-Sha%60biyah al-Ishtirakiyah al-Uzma"", ""Largest cities in Libya"", ""L\u012bbiy\u0101"", ""Lybya"", ""Free Libya"", ""Libiya"", ""ISO 3166-1:LY"", ""Libya""]"
tc_1098,Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey,60,1,"[""Oprah"", ""Ophra"", ""Oprah Winfrey"", ""Oprah Winfery"", ""Winfrey, Oprah Gail"", ""Oprah Gail Winfrey"", ""Opera Winfrey"", ""Oprahism"", ""Oprah!"", ""Vernon Winfrey"", ""Oprah G Winfrey"", ""Harpo Radio, Inc."", ""Orpah Winfrey"", ""Patricia Lee-Lloyd"", ""Oprah's Last Chapter"", ""Oprah's Angels"", ""Oprah winfre"", ""Harpo Winfrey"", ""Oprah G. Winfrey"", ""Oprah winfrey"", ""Harpo Inc."", ""Oprah Winfry"", ""Oprah Winfrey""]"
tc_1114,Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy,60,1,"[""Leonard nimoy"", ""Leonard Nimoy"", ""LEONARD NIMOY"", ""Leonard Nemoy"", ""Leonard Simon Nimoy"", ""Leonard Nimoy""]"
tc_1115,Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston,90,1,"[""Jennifer Anniston"", ""Jen Aniston"", ""Jennifer Aniston"", ""Jennifer aniston"", ""Jennifer Pitt"", ""Jennifer anniston"", ""Jenifer Anniston"", ""Jenifer Aniston"", ""Pumas (film)"", ""Jennifer Anistion"", ""Jennifer Joanna Aniston"", ""Jennifer Joanna Anastassakis"", ""Aniston, Jennifer"", ""Counter Clockwise (film)"", ""Jennifer anastassakis"", ""Jennifer Aniston""]"
tc_1120,"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",Tinker Bell,60,1,"[""Pixie dust"", ""Tinkerbell"", ""Tinker Bell"", ""Tinker Bell (Disney)"", ""Magic dust"", ""Pixie dust (disambiguation)"", ""Fairy dust"", ""Tink (film)"", ""Tinkerbell""]"
tc_1123,Which US president did Anthony Hopkins play in a film whose title was simply his name?,Richard Nixon,60,1,"[""I'm not a crook"", ""Richard nixon"", ""Nixson"", ""Richard Milhouse Nixon"", ""Richard Milhous Nixon"", ""Nixonian"", ""Richard Nixon"", ""Dick Nixon"", ""Nixonite"", ""Nixon, Richard"", ""37th President of the United States"", ""Resignation of Richard Nixon"", ""Richard Nickson"", ""Tricky Dick Nixon"", ""Nixon's"", ""Arthur Burdg Nixon"", ""Richard M. Nixon"", ""Tricky Dick"", ""Arthur Nixon"", ""Nixon"", ""Harold Samuel Nixon"", ""Richard M Nixon"", ""Harold Nixon"", ""Nixon, Richard Milhous"", ""Nixon, Richard M."", ""Nichard rixon"", ""Nixon""]"
tc_1124,Which movie was a biopic about the life of David Helfgott?,Shine,90,1,"[""Shine"", ""Shine (album)"", ""Shine (EP)"", ""Shine (song)"", ""Shin\u00e9"", ""Shine (disambiguation)"", ""Shine(Album)"", ""Shine""]"
tc_1128,Which film director guested as the FBI Director in The Silence of the Lambs?,Jonathan Demme,60,0,"[""The Doorway (film)"", ""Roger William Corman"", ""Roger Corman"", ""Roger Corman""]"
tc_1131,In which sci fi classic did the space ship Nostromo first appear?,Alien,95,1,"[""Alien (disambiguation)"", ""The Alien"", ""Alien (Alien)"", ""The Aliens"", ""Alien (fictional creature)"", ""The Aliens (band)"", ""Alien (alien)"", ""Alien"", ""Alians (disambiguation)"", ""Aliens (novel)"", ""Aliens (computer game)"", ""Alien (song)"", ""Aliens"", ""Aliens (disambiguation)"", ""The Alien (disambiguation)"", ""Alien""]"
tc_1152,Nigel Hawthorne was Oscar nominated for The Madness of which King?,George III,60,1,"[""Gheevarghese"", ""Vargheese"", ""Ghevargheese"", ""George (disambiguation)"", ""Ghevarghese"", ""Gheevargheese"", ""George"", ""Vargis"", ""Geroge"", ""George's"", ""GEORGE"", ""George""]"
tc_1156,Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman,90,1,"[""Ingrid Bergmann"", ""Isotta Ingrid Rossellini"", ""Ingrid Rossellini"", ""Ingrid Bergman"", ""Ingrid Berman"", ""Ingrid Bergman""]"
tc_1176,Which Oscar-nominated film had You Sexy Thing as its theme song?,The Full Monty,60,1,"[""Full Monty"", ""The Full Monty (film)"", ""The Full Monty (soundtrack)"", ""Full monty"", ""The Full Monty"", ""The Full Monty""]"
tc_1179,Which Joan's career revived in Whatever Happened to Baby Jane?,Crawford,90,1,"[""Crawford (disambiguation)"", ""Crawford village"", ""Crawford"", ""Crawford (village)"", ""Crawford""]"
tc_1181,Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,James Stewart,60,1,"[""James Stewart (actor)"", ""Jimmy Stuart"", ""James stewart (actor)"", ""Jimmy Stewart"", ""James Stewart"", ""Jimmy stewart"", ""Stewart, James"", ""James Stewart""]"
tc_1183,Which legendary dancer was Oscar-nominated for The Towering Inferno?,Fred Astaire,90,1,"[""Fred Astair"", ""Fred Austerlitz"", ""Frederick Austerlitz Astaire"", ""Frederick Austerlitz"", ""Fred Astaire"", ""Fred astairey"", ""Fred Astare"", ""Phyllis Potter"", ""Fred Astaire""]"
tc_1189,What was the name of the brothel in The Best Little Whorehouse in Texas?,The Chicken Ranch,60,1,"[""Chicken Ranch"", ""Chicken Ranch (disambiguation)"", ""The Chicken Ranch"", ""Chicken Ranch""]"
tc_1210,Who was the male star of the movie The Man of La Mancha?,Peter O'Toole,60,1,"[""Peter o toole"", ""Peter O' Toole"", ""Peter Seamus Lorcan O'Toole"", ""Peter Seamus O'Toole"", ""Peter O'Toole"", ""Peter O\u2019Toole"", ""Peter OToole"", ""Peter O'Toole""]"
tc_1243,What relation is Joey Richardson to Vanessa Redgrave?,Daughter,90,1,"[""Daughterhood"", ""Daughter"", ""Daughters"", ""Daughter""]"
tc_1250,Melanie Molitor is the mom of which tennis world NO 1?,Serena Williams,60,0,"[""The Swiss Miss"", ""Martina hingis"", ""Martina Hingisov\u00e1"", ""Martina Hingis"", ""MartinaHingis"", ""Martina Hingisova"", ""Hingis"", ""Martina Hingis""]"
tc_1254,Marc Dutroux hit the headlines over a 'house of horrors' in which country?,Belgium,90,1,"[""Belguim"", ""Koenigreich Belgien"", ""Belgium/Belgie"", ""Kingdom of Belgium"", ""Belgian"", ""Beljum"", ""K\u00f6nigreich Belgien"", ""Belgique"", ""Belgium"", ""Beligum"", ""Kingdom of the Belgians"", ""Beljam"", ""Kingdom Of Belgium"", ""Belgum"", ""ISO 3166-1:BE"", ""Belgie"", ""Cockpit of Europe"", ""Koninkrijk Belgi\u00eb"", ""Beldjike"", ""Blegium"", ""Belgio"", ""The Quebec of Europe"", ""Belgi\u00eb"", ""Begium"", ""Royaume de Belgique"", ""Konigreich Belgien"", ""Koninkrijk Belgie"", ""People of Belgium"", ""Belgien"", ""Belgium/facts"", ""Administrative divisions of Belgium"", ""Belgium facts"", ""Belgium""]"
tc_1284,On which date in 1945 did Hitler take cyanide then shoot himself?,"April 30, 1945",95,1,"[""Apr 30"", ""April 30, 2007"", ""April 30"", ""30th April"", ""April 30th"", ""May 0"", ""30 april"", ""30 April"", ""April 30, 1789"", ""April 30th""]"
tc_1313,In which river is the Boulder Dam?,Colorado River,95,1,"[""Colorado (State)"", ""Colorful Colorado"", ""Special districts of Colorado"", ""Insignia of the State of Colorado"", ""List of military facilities in Colorado"", ""Coloradan"", ""Cuisines of Colorado"", ""Colorado (U.S. state)"", ""List of professional sports teams in Colorado"", ""Religion in Colorado"", ""Professional sport teams of Colorado"", ""Rocky Mountain Empire"", ""Thirty-eighth State"", ""38th State"", ""Coloradans"", ""Colorado, United States"", ""The Centennial State"", ""Colo."", ""List of professional sports teams of Colorado"", ""Protected areas of Colorado"", ""Education in Colorado"", ""State of Colorado"", ""Columbine State"", ""Thirty-Eighth State"", ""Colorado (state)"", ""List of former professional sports teams of Colorado"", ""US-CO"", ""Colorado protected areas"", ""Mother of Rivers"", ""List of Colorado state insignia"", ""Fine arts in Colorado"", ""Climate of Colorado"", ""Professional sports in Colorado"", ""Colorado state nickname"", ""Emblems of the State of Colorado"", ""Colorado"", ""Colorado military facilities"", ""Demographics of Colorado"", ""Colorada"", ""Kolorado"", ""Culture of Colorado"", ""Colarado"", ""Centennial State"", ""CO (state)"", ""Buffalo Plains State"", ""Military facilities in Colorado"", ""Colorado""]"
tc_1321,"Which sports event was first held at Worcester, Massachusetts in 1927?",The World Series,60,0,"[""Ryder Cup Matches"", ""Rider cup"", ""The Ryder Cup"", ""Ryder cup"", ""Ryder Cup"", ""Ryder Cup""]"
tc_1323,In which European city is the Belvederen Gallery?,Vienna,90,1,"[""Capital of Austria"", ""Wien"", ""Architecture of Vienna"", ""Vinarborg"", ""Government of Vienna"", ""Vienna"", ""Viena"", ""Demographics of Vienna"", ""City of Vienna"", ""Vienna (state)"", ""Wienna"", ""Vienna, AT-9"", ""Habsburg, Austria"", ""Vienna Porcelain"", ""Wene"", ""UN/LOCODE:ATVIE"", ""Vienna (Austria)"", ""Europe/Vienna"", ""Vindabona"", ""Vienna porcelain"", ""V\u00ednarborg"", ""Wien, Austria"", ""Vienna, Austria"", ""Gemeinderat of Vienna"", ""Vindobonensis"", ""B\u00e9cs"", ""Vienna""]"
tc_1324,How old was Woody Herman when he founded his own orchestra?,21,60,0,"[""13"", ""thirteen"", ""13""]"
tc_1328,For which movie did Katharine Hepburn win her second Oscar?,The Lion in Winter,60,0,"[""Guess Who's Coming To Dinner"", ""Guess who's Coming to Dinner"", ""Guess Who's Coming to Dinner%3F"", ""Guess whose coming to dinner"", ""Guess Who's Coming to Dinner"", ""Guess Who's Coming To Dinner""]"
tc_1331,Who had a 60s No 1 hit with This Diamond Ring?,Gary Lewis and the Playboys,60,1,"[""Dave Gonzalez (Gary Lewis & the Playboys)"", ""Gary Lewis & the Playboys"", ""Gary Lewis and The Playboys"", ""Gary Lewis & The Playboys"", ""Gary Lewis and the Playboys"", ""Gary Lewis and the Playboys""]"
tc_1333,The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,Sweden,60,1,"[""Swedish sin"", ""Swea Region"", ""Sverige"", ""Swedish origin"", ""Schweden"", ""Kingdom of Sweden"", ""SWEDEN"", ""Etymology of Sweden"", ""Mainland Sweden"", ""Konungariket Sverige"", ""Ulf Bergman"", ""Swedish climate"", ""Sweden"", ""Climate of Sweden"", ""ISO 3166-1:SE"", ""Sveden"", ""Suecia"", ""Swedish realm"", ""Zweden"", ""Sweden""]"
tc_1340,In which country was the first permanent bungee jumping site situated?,New Zealand,95,1,"[""N Z"", ""Nouvelle-Zelande"", ""Kiwiland"", ""New Zealand's"", ""New Zealand."", ""Nz"", ""New Zealand,"", ""NEW Z"", ""N Zealand"", ""NEW ZEALAND"", ""New Zealend"", ""Administrative divisions of new zealand"", ""New Zaeland"", ""N z"", ""Kiwistan"", ""Enzed"", ""NewZealand"", ""NZ"", ""Name of New Zealand"", ""Staten Landt"", ""New+Zealand"", ""NZL"", ""Nu Tirani"", ""Neo Zealand"", ""ISO 3166-1:NZ"", ""New Zealnd"", ""AoTeAroa"", ""Sheepland"", ""Aotearoa / New Zealand"", ""Subdivisions of New Zealand"", ""Its got that new zeal"", ""New Zealand"", ""Newzealand"", ""New Zeland"", ""New-Zealand"", ""New Zeeland"", ""Administrative divisions of New Zealand"", ""New Zealnad"", ""Staten Land"", ""N.Z."", ""Staaten land"", ""New.Zealand"", ""Mew Zealand"", ""Maoriland"", ""N. Zealand"", ""Etymology of New Zealand"", ""New Xealand"", ""M\u0101oria"", ""New zelanad"", ""Niu Tireni"", ""New zealand"", ""New zeland"", ""Nova Zeelandia"", ""New zeeland"", ""New Zealand""]"
tc_1341,Who succeeded Brezhnev as Soviet premier?,Yuri Andropov,60,1,"[""Yuri V. Andropov"", ""Yuri Andropov"", ""Yuriy Andropov"", ""Yuri Vladimirovich Andropov"", ""Andropov"", ""Andropou"", ""Jurij Vladimirovi\u010d Andropov"", ""\u042e\u0301\u0440\u0438\u0439 \u0412\u043b\u0430\u0434\u0438\u0301\u043c\u0438\u0440\u043e\u0432\u0438\u0447 \u0410\u043d\u0434\u0440\u043e\u0301\u043f\u043e\u0432"", ""Juri Andropov"", ""Jurij Andropov"", ""Yury Andropov"", ""Yury Vladimirovich Andropov"", ""Jurij Vladimirovic Andropov"", ""Andropov""]"
tc_1348,In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,The baby monitor,60,0,"[""Baby Buggy"", ""Baby buggy"", ""Baby Buggy""]"
tc_1365,In which city's shipyard was Solidarity set up?,Gdansk,60,1,"[""D\u00e0nzica"", ""Baltic Sea/Gdanzk"", ""Danzig/Gda\u0144sk"", ""Gdanzc"", ""Dantzick"", ""Gdunsk"", ""Gdanzk"", ""Gdu\u0144sk"", ""Gda\u0144sk, Poland"", ""Gdanzisk"", ""Danzig (city)"", ""Gda\u00f1sk"", ""Gda\u0146ska"", ""UN/LOCODE:PLGDN"", ""Gdank"", ""Gdanska"", ""Gda\u0144ska"", ""Gdansk, Poland"", ""Gedanum"", ""Gda\u0144k"", ""G'dansk"", ""Danzig"", ""Dantzic"", ""Nasz Stoleczny Gard Gdu\u0144sk"", ""Gda\u0144sk"", ""Dantzik"", ""Gdansk"", ""Gd\u00e1nsk"", ""Gdansk/Danzig"", ""Danzig, Poland"", ""Dantsic"", ""Duchy of Gda\u0144sk"", ""Gdansk, Poland""]"
tc_1387,Which female singer was born on exactly the same day as impressionist Rich Little?,I don't know,10,0,"[""Anna Bullock"", ""Tina Turner's"", ""Tina Turner"", ""Tina tuner"", ""Tina turner"", ""Tinna turner"", ""Annie Mae Bullock"", ""Anna Mae Bullock"", ""Tina Turner""]"
tc_1421,What is Harrison Ford's real name?,Harrison Ford,95,1,"[""Harrison Ford (actor)"", ""Harrison ford"", ""Harrison Ford"", ""Harison Ford"", ""Ford, Harrison"", ""Harrison Ford""]"
tc_1442,Who's home runs record did Mark McGwire break in the 1998 season?,Roger Maris,95,1,"[""Roger Eugene Maras"", ""Roger marris"", ""Roger Eugene Maris"", ""Roger Maris Museum"", ""Roger Maris"", ""Roger Maras"", ""Roger Maris' 61 home run season"", ""Roger Maris""]"
tc_1456,Who won baseball's first World Series of the 80s?,Philadelphia Phillies,60,1,"[""The Phills"", ""Philadelphia Blue Jays"", ""Philadelphia Phyllis"", ""Philadelphia Phil"", ""Philadelphia Phillies (sports)"", ""Philadelphia Phillie"", ""Philadelphia phillies"", ""Philadelphia Phillies roster"", ""List of Philadelphia Phillies captains"", ""Phillies"", ""Phightin' Phils"", ""Philadelphia Phillis"", ""The Phils"", ""Philadelphia Phillies"", ""The Phillies"", ""Phillies Roster"", ""Phils"", ""The Philadelphia Phillies"", ""Phillies Nation"", ""Filies"", ""Philadelphia Phillies/Quakers"", ""Phillies roster"", ""The Pillies"", ""Pillies"", ""Philadelphia Phillies""]"
tc_1468,What was Pete Sampras seeded when he won his first US Open?,12,60,1,"[""twelve"", ""12"", ""12""]"
tc_1484,"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Muhammad Ali,95,0,"[""Rocco Marchegiano"", ""Rocky Marciano"", ""The Brockton Blockbuster"", ""Brockton Bomber"", ""Marciano, Rocky"", ""Rocco francis marchegiano"", ""The Brockton Bomber"", ""Brockton Blockbuster"", ""Rocco Francis Marchegiano"", ""Rocky Marciano""]"
tc_1485,Where did Jonathan Edwards set his 1995 triple jump world record?,Gothenburg,60,0,"[""Swedish sin"", ""Swea Region"", ""Sverige"", ""Swedish origin"", ""Schweden"", ""Kingdom of Sweden"", ""SWEDEN"", ""Etymology of Sweden"", ""Mainland Sweden"", ""Konungariket Sverige"", ""Ulf Bergman"", ""Swedish climate"", ""Sweden"", ""Climate of Sweden"", ""ISO 3166-1:SE"", ""Sveden"", ""Suecia"", ""Swedish realm"", ""Zweden"", ""Sweden""]"
tc_1516,"In baseball, where do the Orioles come from?",Baltimore,95,1,"[""Ballermore, Murdaland"", ""Baltimore, Maryland, US"", ""B.More"", ""Bmore"", ""City of Baltimore, Maryland"", ""Baltimore (City)"", ""Baseball in Baltimore"", ""Ballamore, Murderland"", ""Mobtown"", ""Baltimore, US-MD"", ""Baltimore md"", ""Baltamore"", ""Baltimore (Md.)"", ""Ballermore, Murderland"", ""B-More"", ""Baltimore City"", ""Ballamore"", ""Baltimore, Md."", ""Baltimore, Maryland"", ""Baltimore, Maryland, USA"", ""Baltimore, Maryland, United States"", ""Economy of Baltimore"", ""Baltimore, MD"", ""Charm City"", ""Balitmore"", ""Baltimore"", ""Baltimore, United States"", ""Baltimore, Md"", ""Baltimore (MD)"", ""Ballermore"", ""Baltimore Department of Transportation"", ""Transportation in Baltimore"", ""Charm city"", ""B. More"", ""Baltimore City, MD"", ""Ballamore, Murdaland"", ""Baltimore, Maryland, United States of America"", ""Department of Transportation (Baltimore)"", ""Baltimore City, Maryland"", ""City of Baltimore"", ""Baltimore, USA"", ""Baltimore City Department of Transportation"", ""B More"", ""Baltimore DOT"", ""B'More"", ""Baltimore City Sheriff's Office"", ""UN/LOCODE:USBAL"", ""Baltimoreans"", ""Baltimore, MD, United States"", ""Baltimore""]"
